order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty
FJUN627720603,26/06/2022,789720,25891501,238,27/06/2022,27/06/2022,238
FJUN629720501,27/06/2022,789720,25891501,223,29/06/2022,29/06/2022,223
FJUL77720602,04/07/2022,789720,25891501,113,07/07/2022,07/07/2022,113
FJUL79720501,07/07/2022,789720,25891501,100,09/07/2022,09/07/2022,100
FJUL712720501,09/07/2022,789720,25891501,128,12/07/2022,12/07/2022,128
FJUL711720601,10/07/2022,789720,25891501,106,11/07/2022,11/07/2022,106
FJUL714720502,13/07/2022,789720,25891501,188,14/07/2022,14/07/2022,188
FJUL715720501,14/07/2022,789720,25891501,231,15/07/2022,15/07/2022,231
FJUL716720601,15/07/2022,789720,25891501,157,16/07/2022,16/07/2022,157
FJUL717720501,16/07/2022,789720,25891501,130,17/07/2022,17/07/2022,130
FJUL718720501,16/07/2022,789720,25891501,145,18/07/2022,18/07/2022,145
FJUL719720603,16/07/2022,789720,25891501,248,19/07/2022,19/07/2022,248
FJUL722720502,20/07/2022,789720,25891501,194,22/07/2022,22/07/2022,194
FJUL724720503,22/07/2022,789720,25891501,156,24/07/2022,24/07/2022,156
FJUL725720501,22/07/2022,789720,25891501,133,25/07/2022,25/07/2022,133
FJUL729720501,27/07/2022,789720,25891501,238,29/07/2022,29/07/2022,238
FJUL731720602,28/07/2022,789720,25891501,203,31/07/2022,31/07/2022,203
FAUG81720503,30/07/2022,789720,25891501,191,01/08/2022,01/08/2022,191
FAUG82720501,31/07/2022,789720,25891501,138,02/08/2022,02/08/2022,138
FAUG83720603,02/08/2022,789720,25891501,161,03/08/2022,03/08/2022,161
FAUG89720501,07/08/2022,789720,25891501,176,09/08/2022,09/08/2022,176
FAUG815720501,14/08/2022,789720,25891501,135,15/08/2022,15/08/2022,135
FAUG820720501,19/08/2022,789720,25891501,149,20/08/2022,20/08/2022,149
FAUG825720501,24/08/2022,789720,25891501,123,25/08/2022,24/08/2022,123
FAUG828720602,26/08/2022,789720,25891501,135,28/08/2022,28/08/2022,135
FAUG830720501,29/08/2022,789720,25891501,155,30/08/2022,30/08/2022,155
FAUG831720602,29/08/2022,789720,25891501,234,31/08/2022,31/08/2022,234
FMR32402602,01/03/2022,789402,25891501,223,02/03/2022,02/03/2022,223
FMR35402501,02/03/2022,789402,25891501,181,05/03/2022,05/03/2022,181
FMR39402503,06/03/2022,789402,25891501,158,09/03/2022,09/03/2022,158
FMR310402501,07/03/2022,789402,25891501,216,10/03/2022,10/03/2022,216
FMR311402602,08/03/2022,789402,25891501,228,11/03/2022,11/03/2022,228
FMR316402501,15/03/2022,789402,25891501,184,16/03/2022,15/03/2022,184
FMR318402501,16/03/2022,789402,25891501,205,18/03/2022,18/03/2022,205
FMR325402501,22/03/2022,789402,25891501,118,25/03/2022,25/03/2022,118
FMR329402503,27/03/2022,789402,25891501,177,29/03/2022,29/03/2022,177
FMR331402501,29/03/2022,789402,25891501,166,31/03/2022,31/03/2022,166
FAP42402502,30/03/2022,789402,25891501,104,02/04/2022,02/04/2022,104
FAP48402603,05/04/2022,789402,25891501,165,08/04/2022,08/04/2022,165
FAP49402501,06/04/2022,789402,25891501,118,09/04/2022,09/04/2022,118
FAP411402603,09/04/2022,789402,25891501,178,11/04/2022,11/04/2022,178
FAP416402501,13/04/2022,789402,25891501,211,16/04/2022,16/04/2022,211
FAP417402501,15/04/2022,789402,25891501,120,17/04/2022,17/04/2022,120
FAP418402503,17/04/2022,789402,25891501,107,18/04/2022,18/04/2022,107
FAP420402602,17/04/2022,789402,25891501,189,20/04/2022,20/04/2022,189
FAP419402601,18/04/2022,789402,25891501,114,19/04/2022,19/04/2022,114
FAP421402501,18/04/2022,789402,25891501,163,21/04/2022,21/04/2022,163
FAP423402501,22/04/2022,789402,25891501,216,23/04/2022,23/04/2022,216
FAP430402502,28/04/2022,789402,25891501,231,30/04/2022,30/04/2022,231
FMY52402501,29/04/2022,789402,25891501,138,02/05/2022,02/05/2022,138
FMY54402501,03/05/2022,789402,25891501,190,04/05/2022,04/05/2022,190
FMY55402602,04/05/2022,789402,25891501,156,05/05/2022,05/05/2022,156
FMY57402502,04/05/2022,789402,25891501,230,07/05/2022,07/05/2022,230
FMY58402502,05/05/2022,789402,25891501,127,08/05/2022,08/05/2022,127
FMY513402501,12/05/2022,789402,25891501,162,13/05/2022,13/05/2022,162
FMY516402501,14/05/2022,789402,25891501,250,16/05/2022,15/05/2022,250
FMY519402503,16/05/2022,789402,25891501,194,19/05/2022,19/05/2022,194
FMY520402503,19/05/2022,789402,25891501,233,20/05/2022,20/05/2022,233
FMY524402503,21/05/2022,789402,25891501,154,24/05/2022,24/05/2022,154
FMY528402501,25/05/2022,789402,25891501,195,28/05/2022,28/05/2022,195
FJUN61402501,30/05/2022,789402,25891501,169,01/06/2022,01/06/2022,169
FJUN65402503,02/06/2022,789402,25891501,229,05/06/2022,05/06/2022,229
FJUN66402602,03/06/2022,789402,25891501,180,06/06/2022,06/06/2022,180
FJUN67402501,06/06/2022,789402,25891501,181,07/06/2022,07/06/2022,181
FJUN68402501,07/06/2022,789402,25891501,164,08/06/2022,08/06/2022,164
FJUN611402602,10/06/2022,789402,25891501,120,11/06/2022,11/06/2022,120
FJUN612402501,11/06/2022,789402,25891501,103,12/06/2022,12/06/2022,103
FJUN616402603,13/06/2022,789402,25891501,146,16/06/2022,16/06/2022,146
FJUN617402501,14/06/2022,789402,25891501,223,17/06/2022,17/06/2022,223
FJUN618402602,16/06/2022,789402,25891501,197,18/06/2022,18/06/2022,197
FJUN621402603,20/06/2022,789402,25891501,237,21/06/2022,21/06/2022,237
FJUN624402501,23/06/2022,789402,25891501,232,24/06/2022,24/06/2022,232
FJUN626402501,24/06/2022,789402,25891501,210,26/06/2022,26/06/2022,210
FJUN628402501,25/06/2022,789402,25891501,234,28/06/2022,28/06/2022,234
FJUN629402603,27/06/2022,789402,25891501,100,29/06/2022,29/06/2022,100
FJUL72402603,29/06/2022,789402,25891501,180,02/07/2022,02/07/2022,180
FJUL75402501,02/07/2022,789402,25891501,213,05/07/2022,05/07/2022,213
FJUL76402502,03/07/2022,789402,25891501,243,06/07/2022,06/07/2022,243
FJUL78402501,06/07/2022,789402,25891501,215,08/07/2022,08/07/2022,215
FJUL714402501,11/07/2022,789402,25891501,160,14/07/2022,14/07/2022,160
FJUL716402501,13/07/2022,789402,25891501,220,16/07/2022,16/07/2022,220
FJUL719402602,16/07/2022,789402,25891501,150,19/07/2022,19/07/2022,150
FJUL720402501,17/07/2022,789402,25891501,227,20/07/2022,20/07/2022,227
FJUL726402501,23/07/2022,789402,25891501,137,26/07/2022,26/07/2022,137
FJUL728402502,26/07/2022,789402,25891501,201,28/07/2022,28/07/2022,201
FJUL731402501,28/07/2022,789402,25891501,214,31/07/2022,31/07/2022,214
FAUG81402501,30/07/2022,789402,25891501,230,01/08/2022,01/08/2022,230
FAUG83402603,31/07/2022,789402,25891501,143,03/08/2022,03/08/2022,143
FAUG85402501,03/08/2022,789402,25891501,199,05/08/2022,05/08/2022,199
FAUG86402501,04/08/2022,789402,25891501,132,06/08/2022,06/08/2022,132
FAUG88402603,07/08/2022,789402,25891501,230,08/08/2022,08/08/2022,230
FAUG89402501,07/08/2022,789402,25891501,198,09/08/2022,09/08/2022,198
FAUG810402501,08/08/2022,789402,25891501,157,10/08/2022,10/08/2022,157
FAUG811402601,10/08/2022,789402,25891501,184,11/08/2022,11/08/2022,184
FAUG813402501,10/08/2022,789402,25891501,101,13/08/2022,13/08/2022,101
FAUG823402501,21/08/2022,789402,25891501,246,23/08/2022,23/08/2022,246
FAUG825402501,23/08/2022,789402,25891501,175,25/08/2022,24/08/2022,175
FMR32301603,01/03/2022,789301,25891501,238,02/03/2022,02/03/2022,238
FMR33301502,02/03/2022,789301,25891501,228,03/03/2022,03/03/2022,228
FMR39301501,07/03/2022,789301,25891501,197,09/03/2022,09/03/2022,197
FMR310301503,07/03/2022,789301,25891501,144,10/03/2022,10/03/2022,144
FMR312301501,10/03/2022,789301,25891501,224,12/03/2022,12/03/2022,224
FMR315301501,14/03/2022,789301,25891501,181,15/03/2022,14/03/2022,181
FMR319301602,17/03/2022,789301,25891501,203,19/03/2022,19/03/2022,203
FMR321301602,19/03/2022,789301,25891501,213,21/03/2022,21/03/2022,213
FMR322301603,19/03/2022,789301,25891501,187,22/03/2022,22/03/2022,187
FAP42301503,30/03/2022,789301,25891501,109,02/04/2022,02/04/2022,109
FAP43301603,02/04/2022,789301,25891501,117,03/04/2022,03/04/2022,117
FAP44301502,03/04/2022,789301,25891501,182,04/04/2022,04/04/2022,182
FAP45301501,03/04/2022,789301,25891501,186,05/04/2022,05/04/2022,186
FAP46301603,05/04/2022,789301,25891501,195,06/04/2022,06/04/2022,195
FAP48301501,05/04/2022,789301,25891501,221,08/04/2022,08/04/2022,221
FAP412301501,11/04/2022,789301,25891501,226,12/04/2022,12/04/2022,226
FAP415301603,13/04/2022,789301,25891501,108,15/04/2022,15/04/2022,108
FAP416301502,15/04/2022,789301,25891501,115,16/04/2022,16/04/2022,115
FAP417301501,15/04/2022,789301,25891501,147,17/04/2022,17/04/2022,147
FAP419301602,18/04/2022,789301,25891501,212,19/04/2022,19/04/2022,212
FAP421301603,20/04/2022,789301,25891501,235,21/04/2022,21/04/2022,235
FAP424301603,22/04/2022,789301,25891501,124,24/04/2022,24/04/2022,124
FAP426301501,25/04/2022,789301,25891501,224,26/04/2022,26/04/2022,224
FAP430301503,29/04/2022,789301,25891501,133,30/04/2022,30/04/2022,133
FMY51301502,30/04/2022,789301,25891501,170,01/05/2022,01/05/2022,170
FMY52301503,01/05/2022,789301,25891501,112,02/05/2022,02/05/2022,112
FMY53301601,02/05/2022,789301,25891501,134,03/05/2022,03/05/2022,134
FMY55301501,04/05/2022,789301,25891501,100,05/05/2022,05/05/2022,100
FMY58301502,05/05/2022,789301,25891501,122,08/05/2022,08/05/2022,122
FMY510301501,07/05/2022,789301,25891501,107,10/05/2022,10/05/2022,107
FMY511301501,08/05/2022,789301,25891501,108,11/05/2022,11/05/2022,108
FMY514301602,13/05/2022,789301,25891501,107,14/05/2022,14/05/2022,107
FMY515301602,14/05/2022,789301,25891501,205,15/05/2022,15/05/2022,205
FMY518301501,15/05/2022,789301,25891501,109,18/05/2022,18/05/2022,109
FMY520301501,19/05/2022,789301,25891501,204,20/05/2022,19/05/2022,204
FMY522301501,20/05/2022,789301,25891501,109,22/05/2022,22/05/2022,109
FJUN611301603,08/06/2022,789301,25891501,138,11/06/2022,11/06/2022,138
FJUN612301501,09/06/2022,789301,25891501,194,12/06/2022,12/06/2022,194
FJUN613301501,11/06/2022,789301,25891501,132,13/06/2022,13/06/2022,132
FJUN614301501,12/06/2022,789301,25891501,164,14/06/2022,14/06/2022,164
FJUN617301501,15/06/2022,789301,25891501,249,17/06/2022,17/06/2022,249
FJUN621301603,20/06/2022,789301,25891501,184,21/06/2022,21/06/2022,184
FJUN623301603,21/06/2022,789301,25891501,195,23/06/2022,23/06/2022,195
FJUN625301602,22/06/2022,789301,25891501,190,25/06/2022,25/06/2022,190
FJUL71301602,30/06/2022,789301,25891501,103,01/07/2022,01/07/2022,103
FJUL74301501,01/07/2022,789301,25891501,239,04/07/2022,04/07/2022,239
FJUL75301501,04/07/2022,789301,25891501,117,05/07/2022,05/07/2022,117
FJUL77301501,05/07/2022,789301,25891501,193,07/07/2022,07/07/2022,193
FJUL717301601,14/07/2022,789301,25891501,178,17/07/2022,17/07/2022,178
FJUL718301501,16/07/2022,789301,25891501,222,18/07/2022,18/07/2022,222
FJUL719301501,17/07/2022,789301,25891501,123,19/07/2022,19/07/2022,123
FJUL722301602,20/07/2022,789301,25891501,250,22/07/2022,22/07/2022,250
FJUL723301603,22/07/2022,789301,25891501,204,23/07/2022,23/07/2022,204
FJUL725301602,24/07/2022,789301,25891501,163,25/07/2022,25/07/2022,163
FJUL726301603,24/07/2022,789301,25891501,107,26/07/2022,26/07/2022,107
FJUL731301603,29/07/2022,789301,25891501,121,31/07/2022,31/07/2022,121
FAUG82301603,01/08/2022,789301,25891501,245,02/08/2022,02/08/2022,245
FAUG85301501,02/08/2022,789301,25891501,123,05/08/2022,05/08/2022,123
FAUG810301501,08/08/2022,789301,25891501,126,10/08/2022,10/08/2022,126
FAUG812301501,11/08/2022,789301,25891501,208,12/08/2022,12/08/2022,208
FAUG814301501,13/08/2022,789301,25891501,116,14/08/2022,14/08/2022,116
FAUG816301501,13/08/2022,789301,25891501,194,16/08/2022,16/08/2022,194
FAUG817301503,16/08/2022,789301,25891501,104,17/08/2022,17/08/2022,104
FAUG818301502,16/08/2022,789301,25891501,109,18/08/2022,18/08/2022,109
FAUG821301501,19/08/2022,789301,25891501,184,21/08/2022,21/08/2022,184
FAUG825301503,24/08/2022,789301,25891501,141,25/08/2022,25/08/2022,141
FAUG827301501,24/08/2022,789301,25891501,171,27/08/2022,27/08/2022,171
FAUG829301501,27/08/2022,789301,25891501,216,29/08/2022,29/08/2022,216
FMR33303501,01/03/2022,789303,25891501,105,03/03/2022,03/03/2022,105
FMR34303603,03/03/2022,789303,25891501,166,04/03/2022,04/03/2022,166
FMR38303602,07/03/2022,789303,25891501,157,08/03/2022,08/03/2022,157
FMR310303602,08/03/2022,789303,25891501,176,10/03/2022,10/03/2022,176
FMR311303501,08/03/2022,789303,25891501,204,11/03/2022,10/03/2022,204
FMR313303603,12/03/2022,789303,25891501,209,13/03/2022,13/03/2022,209
FMR315303501,14/03/2022,789303,25891501,174,15/03/2022,15/03/2022,174
FMR317303501,15/03/2022,789303,25891501,178,17/03/2022,17/03/2022,178
FMR322303502,21/03/2022,789303,25891501,216,22/03/2022,22/03/2022,216
FAP41303501,29/03/2022,789303,25891501,115,01/04/2022,01/04/2022,115
FAP42303501,30/03/2022,789303,25891501,105,02/04/2022,02/04/2022,105
FAP44303602,03/04/2022,789303,25891501,157,04/04/2022,04/04/2022,157
FAP49303501,07/04/2022,789303,25891501,205,09/04/2022,09/04/2022,205
FAP410303501,07/04/2022,789303,25891501,191,10/04/2022,10/04/2022,191
FAP412303501,09/04/2022,789303,25891501,111,12/04/2022,12/04/2022,111
FAP411303603,10/04/2022,789303,25891501,168,11/04/2022,11/04/2022,168
FAP420303503,18/04/2022,789303,25891501,229,20/04/2022,20/04/2022,229
FAP421303503,20/04/2022,789303,25891501,244,21/04/2022,21/04/2022,244
FAP425303503,22/04/2022,789303,25891501,143,25/04/2022,25/04/2022,143
FAP426303601,23/04/2022,789303,25891501,124,26/04/2022,26/04/2022,124
FAP427303501,26/04/2022,789303,25891501,237,27/04/2022,27/04/2022,237
FAP429303602,28/04/2022,789303,25891501,165,29/04/2022,29/04/2022,165
FMY51303501,28/04/2022,789303,25891501,115,01/05/2022,30/04/2022,115
FMY56303501,03/05/2022,789303,25891501,222,06/05/2022,06/05/2022,222
FMY57303501,05/05/2022,789303,25891501,178,07/05/2022,07/05/2022,178
FMY58303603,07/05/2022,789303,25891501,138,08/05/2022,08/05/2022,138
FMY511303602,09/05/2022,789303,25891501,165,11/05/2022,11/05/2022,165
FMY516303501,14/05/2022,789303,25891501,145,16/05/2022,15/05/2022,145
FMY517303501,14/05/2022,789303,25891501,108,17/05/2022,17/05/2022,108
FMY520303501,17/05/2022,789303,25891501,165,20/05/2022,20/05/2022,165
FMY519303501,18/05/2022,789303,25891501,202,19/05/2022,19/05/2022,202
FMY523303601,22/05/2022,789303,25891501,110,23/05/2022,23/05/2022,110
FMY526303501,23/05/2022,789303,25891501,237,26/05/2022,26/05/2022,237
FMY527303501,24/05/2022,789303,25891501,239,27/05/2022,27/05/2022,239
FMY528303501,25/05/2022,789303,25891501,161,28/05/2022,27/05/2022,161
FMY530303501,27/05/2022,789303,25891501,162,30/05/2022,30/05/2022,162
FJUN61303503,29/05/2022,789303,25891501,210,01/06/2022,01/06/2022,210
FJUN65303603,03/06/2022,789303,25891501,154,05/06/2022,05/06/2022,154
FJUN66303501,05/06/2022,789303,25891501,111,06/06/2022,06/06/2022,111
FJUN67303501,05/06/2022,789303,25891501,166,07/06/2022,07/06/2022,166
FJUN610303602,07/06/2022,789303,25891501,177,10/06/2022,10/06/2022,177
FJUN69303603,08/06/2022,789303,25891501,157,09/06/2022,09/06/2022,157
FJUN614303601,11/06/2022,789303,25891501,173,14/06/2022,14/06/2022,173
FJUN615303502,14/06/2022,789303,25891501,190,15/06/2022,15/06/2022,190
FJUN621303503,19/06/2022,789303,25891501,103,21/06/2022,21/06/2022,103
FJUN622303603,20/06/2022,789303,25891501,129,22/06/2022,22/06/2022,129
FJUN624303603,22/06/2022,789303,25891501,226,24/06/2022,24/06/2022,226
FJUN628303501,26/06/2022,789303,25891501,132,28/06/2022,28/06/2022,132
FJUL72303602,30/06/2022,789303,25891501,236,02/07/2022,02/07/2022,236
FJUL76303501,04/07/2022,789303,25891501,241,06/07/2022,06/07/2022,241
FJUL78303503,05/07/2022,789303,25891501,186,08/07/2022,08/07/2022,186
FJUL710303501,07/07/2022,789303,25891501,107,10/07/2022,10/07/2022,107
FJUL714303602,12/07/2022,789303,25891501,119,14/07/2022,14/07/2022,119
FJUL715303501,13/07/2022,789303,25891501,204,15/07/2022,15/07/2022,204
FJUL717303601,15/07/2022,789303,25891501,225,17/07/2022,17/07/2022,225
FJUL719303603,17/07/2022,789303,25891501,133,19/07/2022,19/07/2022,133
FJUL722303503,20/07/2022,789303,25891501,170,22/07/2022,22/07/2022,170
FJUL723303503,22/07/2022,789303,25891501,234,23/07/2022,23/07/2022,234
FJUL731303501,30/07/2022,789303,25891501,148,31/07/2022,31/07/2022,148
FAUG83303501,02/08/2022,789303,25891501,153,03/08/2022,03/08/2022,153
FAUG814303503,11/08/2022,789303,25891501,218,14/08/2022,14/08/2022,218
FAUG815303501,12/08/2022,789303,25891501,151,15/08/2022,14/08/2022,151
FAUG817303501,16/08/2022,789303,25891501,236,17/08/2022,17/08/2022,236
FAUG820303601,17/08/2022,789303,25891501,192,20/08/2022,20/08/2022,192
FAUG824303502,21/08/2022,789303,25891501,144,24/08/2022,24/08/2022,144
FAUG826303601,24/08/2022,789303,25891501,173,26/08/2022,26/08/2022,173
FAUG828303601,25/08/2022,789303,25891501,234,28/08/2022,28/08/2022,234
FMR33320501,01/03/2022,789320,25891501,249,03/03/2022,03/03/2022,249
FMR36320501,05/03/2022,789320,25891501,240,06/03/2022,06/03/2022,240
FMR310320502,09/03/2022,789320,25891501,104,10/03/2022,10/03/2022,104
FMR313320503,12/03/2022,789320,25891501,216,13/03/2022,13/03/2022,216
FMR314320501,12/03/2022,789320,25891501,111,14/03/2022,14/03/2022,111
FMR317320601,14/03/2022,789320,25891501,143,17/03/2022,17/03/2022,143
FMR318320501,17/03/2022,789320,25891501,155,18/03/2022,18/03/2022,155
FMR319320501,17/03/2022,789320,25891501,218,19/03/2022,19/03/2022,218
FMR329320501,28/03/2022,789320,25891501,249,29/03/2022,28/03/2022,249
FMR330320501,28/03/2022,789320,25891501,214,30/03/2022,30/03/2022,214
FAP41320501,30/03/2022,789320,25891501,163,01/04/2022,01/04/2022,163
FAP42320501,31/03/2022,789320,25891501,186,02/04/2022,02/04/2022,186
FAP44320503,01/04/2022,789320,25891501,226,04/04/2022,04/04/2022,226
FAP43320601,02/04/2022,789320,25891501,243,03/04/2022,03/04/2022,243
FAP45320503,02/04/2022,789320,25891501,121,05/04/2022,05/04/2022,121
FAP46320501,03/04/2022,789320,25891501,218,06/04/2022,06/04/2022,218
FAP48320503,06/04/2022,789320,25891501,118,08/04/2022,08/04/2022,118
FAP412320501,09/04/2022,789320,25891501,200,12/04/2022,12/04/2022,200
FAP413320501,10/04/2022,789320,25891501,156,13/04/2022,13/04/2022,156
FAP417320501,16/04/2022,789320,25891501,242,17/04/2022,16/04/2022,242
FAP419320501,16/04/2022,789320,25891501,103,19/04/2022,19/04/2022,103
FAP421320602,18/04/2022,789320,25891501,182,21/04/2022,21/04/2022,182
FAP423320502,20/04/2022,789320,25891501,152,23/04/2022,23/04/2022,152
FAP422320602,21/04/2022,789320,25891501,102,22/04/2022,22/04/2022,102
FAP424320501,22/04/2022,789320,25891501,235,24/04/2022,24/04/2022,235
FMY52320501,01/05/2022,789320,25891501,227,02/05/2022,02/05/2022,227
FMY54320501,01/05/2022,789320,25891501,222,04/05/2022,04/05/2022,222
FMY55320601,03/05/2022,789320,25891501,195,05/05/2022,05/05/2022,195
FMY58320501,05/05/2022,789320,25891501,140,08/05/2022,07/05/2022,140
FMY57320501,06/05/2022,789320,25891501,230,07/05/2022,07/05/2022,230
FMY511320501,10/05/2022,789320,25891501,168,11/05/2022,10/05/2022,168
FMY515320501,14/05/2022,789320,25891501,238,15/05/2022,15/05/2022,238
FMY516320603,14/05/2022,789320,25891501,107,16/05/2022,16/05/2022,107
FMY519320501,16/05/2022,789320,25891501,190,19/05/2022,19/05/2022,190
FMY521320602,19/05/2022,789320,25891501,132,21/05/2022,21/05/2022,132
FMY522320503,21/05/2022,789320,25891501,151,22/05/2022,22/05/2022,151
FMY531320501,28/05/2022,789320,25891501,227,31/05/2022,31/05/2022,227
FJUN61320501,29/05/2022,789320,25891501,106,01/06/2022,01/06/2022,106
FJUN65320501,03/06/2022,789320,25891501,184,05/06/2022,05/06/2022,184
FJUN67320501,05/06/2022,789320,25891501,173,07/06/2022,07/06/2022,173
FJUN68320501,07/06/2022,789320,25891501,126,08/06/2022,08/06/2022,126
FJUN69320501,08/06/2022,789320,25891501,125,09/06/2022,09/06/2022,125
FJUN616320501,13/06/2022,789320,25891501,214,16/06/2022,16/06/2022,214
FJUN615320502,14/06/2022,789320,25891501,162,15/06/2022,15/06/2022,162
FJUN618320601,16/06/2022,789320,25891501,120,18/06/2022,18/06/2022,120
FJUN619320602,18/06/2022,789320,25891501,155,19/06/2022,19/06/2022,155
FJUN620320602,19/06/2022,789320,25891501,150,20/06/2022,20/06/2022,150
FJUN621320601,19/06/2022,789320,25891501,140,21/06/2022,21/06/2022,140
FJUL71320601,28/06/2022,789320,25891501,203,01/07/2022,01/07/2022,203
FJUL77320503,06/07/2022,789320,25891501,112,07/07/2022,07/07/2022,112
FJUL717320503,14/07/2022,789320,25891501,217,17/07/2022,17/07/2022,217
FJUL716320602,15/07/2022,789320,25891501,176,16/07/2022,16/07/2022,176
FJUL723320501,21/07/2022,789320,25891501,232,23/07/2022,23/07/2022,232
FJUL724320501,21/07/2022,789320,25891501,204,24/07/2022,24/07/2022,204
FJUL728320501,26/07/2022,789320,25891501,239,28/07/2022,28/07/2022,239
FJUL730320603,28/07/2022,789320,25891501,113,30/07/2022,30/07/2022,113
FJUL731320501,29/07/2022,789320,25891501,134,31/07/2022,31/07/2022,134
FAUG89320501,07/08/2022,789320,25891501,220,09/08/2022,09/08/2022,220
FAUG810320602,08/08/2022,789320,25891501,137,10/08/2022,10/08/2022,137
FAUG813320501,10/08/2022,789320,25891501,170,13/08/2022,13/08/2022,170
FAUG814320501,11/08/2022,789320,25891501,193,14/08/2022,14/08/2022,193
FAUG815320501,12/08/2022,789320,25891501,189,15/08/2022,15/08/2022,189
FAUG816320503,13/08/2022,789320,25891501,187,16/08/2022,16/08/2022,187
FAUG820320502,19/08/2022,789320,25891501,235,20/08/2022,20/08/2022,235
FAUG824320503,22/08/2022,789320,25891501,249,24/08/2022,24/08/2022,249
FAUG825320502,22/08/2022,789320,25891501,195,25/08/2022,25/08/2022,195
FAUG831320501,30/08/2022,789320,25891501,101,31/08/2022,31/08/2022,101
FMR33203603,01/03/2022,789203,25891501,104,03/03/2022,03/03/2022,104
FMR34903603,01/03/2022,789903,25891501,136,04/03/2022,04/03/2022,136
FMR32221603,01/03/2022,789221,25891501,140,02/03/2022,02/03/2022,140
FMR32101601,01/03/2022,789101,25891501,241,02/03/2022,02/03/2022,241
FMR35422501,02/03/2022,789422,25891501,171,05/03/2022,05/03/2022,171
FMR35902601,02/03/2022,789902,25891501,238,05/03/2022,05/03/2022,238
